[2026-07-07 16:03:08,551 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 5ms |  | 
[2026-07-07 16:03:08,621 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:08,648 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:03:08,666 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:08,695 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:03:08,771 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 25ms |  | 
[2026-07-07 16:03:09,650 root/INFO]: 127.0.0.1 - "GET /pitches/6 HTTP/1.1" - 200 - | 34ms |  | 
[2026-07-07 16:03:09,719 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:09,745 root/WARNING]: 127.0.0.1 - "GET /static/js/pitch.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:03:09,768 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:03:09,796 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:03:11,835 root/INFO]: 127.0.0.1 - "GET /auth/logout HTTP/1.1" - 200 - | 5ms |  | 
[2026-07-07 16:03:11,949 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:11,954 root/WARNING]: 127.0.0.1 - "GET /static/js/logout.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:12,042 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:12,847 root/INFO]: 127.0.0.1 - "POST /auth/logout HTTP/1.1" - 200 - | 13ms |  | 
[2026-07-07 16:03:12,878 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 0ms |  | 
[2026-07-07 16:03:12,980 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:03:12,994 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:13,037 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:13,043 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:03:13,211 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 11ms |  | 
[2026-07-07 16:03:35,945 root/INFO]: Logging initialized
[2026-07-07 16:03:38,308 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 12ms |  | 
[2026-07-07 16:03:38,547 root/INFO]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 200 - | 187ms |  | 
[2026-07-07 16:03:38,549 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:38,559 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 185ms |  | 
